사이버보안결과ID,강사직원번호,대상인원수,참석인원수,삭제여부,최종수정수,처리직원번호,최초처리직원번호
9dnOBw5NBS,4043,25,21,N,1,4259,4259
9dnOA9IaRS,4043,25,21,Y,2,4259,4259
9dngFFysG0,5336,11,8,N,1,5336,5336
9dm2393bDi,5336,11,8,Y,2,5336,5336
9dngBHX7qe,5238,19,18,N,1,5238,5238
9dm2YTYu48,5238,19,18,Y,2,5238,5238
9dnfurLyvv,5449,17,12,N,1,5449,5449
9dnfq6vLXt,4861,11,9,N,1,5903,5903
9dnfqiuuL9,4841,13,9,N,1,4841,4841
9dnfpYe1Ts,3525,11,10,Y,2,5572,5572
9dnfqaxw8f,3525,11,10,N,1,5572,5572
9dnfodgplP,3388,8,5,Y,2,4556,4556
9dnfokmrej,3388,8,5,N,1,4556,4556
9dnfeDyKUV,3283,8,5,N,1,3283,3283
9dnfbJw3RM,5241,28,26,N,1,5241,5241
9dne9Xg0i8,3436,6,4,N,1,4601,4601
9dne9U3igu,3436,6,4,Y,2,4601,4601
9dm6vrqHzI,4490,15,8,Y,2,4490,4490
9dm6vyFu8Y,4490,16,8,N,1,4490,4490
9dm6vjx4iB,4490,15,8,Y,2,4490,4490
9dm6jxli4m,2443,9,7,N,1,2443,2443
9dm6jcxswt,4804,13,13,Y,2,4804,4804
9dm6jrlxJO,4804,13,8,N,1,4804,4804
9dm6i8CFgI,4804,13,13,Y,2,4804,4804
9dm6by7gL2,3593,23,16,Y,2,3593,3593
9dm6bEJ5XY,3593,23,16,N,1,3593,3593
9dm6bl6fXH,3593,23,16,Y,2,3593,3593
9dm59ymSVw,4686,28,15,N,1,4686,4686
9dm56w9k6w,4973,23,16,N,1,4973,4973
9dm54dQYxr,5008,10,9,N,1,5008,5008
9dm54al1jO,5008,10,9,Y,2,5008,5008
9dm53HpyXT,3473,7,5,N,1,4753,4753
9dm52HKgrD,5093,7,7,N,1,5093,5093
9dm52yelMF,5639,21,18,N,1,5639,5639
9dm51IqRNZ,4641,24,5,N,1,5839,5839
9dm51vKFF8,5000,12,10,Y,2,5000,5000
9dm51Afinl,5000,12,10,N,1,5000,5000
9dm51vtCsR,4618,18,9,N,1,4618,4618
9dm51nGQCj,4433,12,10,N,1,4433,4433
9dm5irOMzc,4433,12,12,Y,2,4433,4433
9dm50lLUI1,3425,9,8,N,1,4300,4300
9dm5Zh1Yct,3330,18,12,N,1,3452,3452
9dm5YGV96U,4877,30,20,N,1,4877,4877
9dm5Yv4o7m,4877,30,20,Y,2,4877,4877
9dm5Ydp0vm,3619,12,9,N,1,3619,3619
9dm5X1GiVf,3619,12,9,Y,2,3619,3619
9dm5XXevTr,3619,12,9,Y,2,3619,3619
9dm5XU3XP7,3619,12,9,Y,2,3619,3619
9dm5XRevBa,3619,12,9,Y,2,3619,3619
9dm5XOf0zd,3619,12,9,Y,2,3619,3619
9dm5XLD4JK,3619,12,9,Y,2,3619,3619
9dm5XIGpSx,3619,12,9,Y,2,3619,3619
9dm5XAWMgv,3619,12,9,Y,2,3619,3619
9dm5WMW3P2,4749,7,7,N,1,4749,4749
9dm5bAt8K1,4863,19,18,N,1,4863,4863
9dm5bbBfxY,5073,8,8,Y,2,5073,5073
9dm5bm6UCW,5073,8,8,N,1,5073,5073
9dm402VZin,4580,6,6,N,1,4580,4580
9dm4Xdbo28,3767,8,7,N,1,5451,5451
9dm4StMUcu,2876,10,10,N,1,2876,2876
9dm4uJSuOH,4689,30,30,Y,2,4689,4689
9dm4Soozmz,4689,30,28,N,1,4689,4689
9dm4SgjYE1,4857,10,10,Y,2,4857,4857
9dm4SkJSkv,4857,10,10,N,1,4857,4857
9dm4R5y5Up,4857,10,10,Y,2,4857,4857
9dm4QnaQ1B,4926,64,48,N,1,4926,4926
9dm4P6N9gz,3606,9,9,N,1,3606,3606
9dm4O9Fa7D,5054,21,16,N,1,5054,5054
9dm4KQao9R,5230,18,18,N,1,5230,5230
9dm4KDJBzM,5136,12,8,N,1,5136,5136
9dm4JBxU4o,5031,12,8,N,1,5031,5031
9dm2Z7Rcvy,5031,12,8,Y,2,5031,5031
